id,station_id
NOE00105477,1001
NOE00134778,1004
SV000001008,1008
NOE00112080,1010
NOE00134886,1015
NOE00134898,1025
NO000099710,1028
NOE00133110,1049
NOE00133122,1053
NOE00109459,1055
NOE00111327,1057
NO000097250,1065
NOE00109476,1075
NOE00109777,1078
NOE00133162,1083
NOE00133210,1088
NOE00111354,1092
NO000098550,1098
NOE00134094,1102
NOE00133894,1116
NOE00133882,1141
NOE00133990,1151
NOE00104443,1160
NOE00133954,1161
NOE00133978,1162
NOE00109485,1199
NOE00133650,1205
NOE00133726,1209
NOE00109719,1212
NOE00133666,1217
NOE00109746,1218
NOM00001238,1238
NOE00109604,1241
NOE00111111,1262
NOE00100569,1274
NOE00109613,1288
NOE00134038,1290
NOE00134470,1310
NOE00110653,1311
NO000050550,1316
NO000050540,1317
NOE00109768,1319
NOE00134554,1320
NOE00134166,1366
NOE00105482,1372
NOE00109984,1382
NOE00109514,1384
NOE00109966,1393
NO000014030,1403
NOE00110725,1406
NOE00109680,1415
NOE00134418,1417
NOE00109671,1424
NOE00109640,1427
NOE00133470,1433
NOE00133075,1442
NOE00110447,1452
NOE00109759,1455
NOE00110285,1470
NOE00134850,1475
NOE00109543,1477
NOE00105472,1482
NOE00109939,1490
SWE00140888,2012
SWE00140950,2020
SWE00137473,2023
SWE00140938,2032
SWE00140910,2036
SWE00140838,2054
SWE00140560,2057
SWE00139992,2062
SWE00139172,2076
SWM00002584,2083
SWE00140898,2086
SWE00140720,2101
SWE00140638,2109
SWE00140590,2113
SWE00140150,2118
SWE00139324,2125
SWE00140442,2128
SWE00140448,2176
SWE00140554,2183
SWE00140554,2185
SWE00140554,2186
SWE00137131,2189
SWE00140796,2190
SW000002196,2196
SWE00140598,2198
SWE00140240,2200
SWE00140016,2206
SWE00140700,2213
SWE00140148,2236
SWE00139968,2248
SWE00140332,2252
SWE00139828,2255
SWE00139942,2259
SWE00140360,2262
SWE00140286,2274
SWE00140100,2276
SWE00139988,2278
SW000002288,2288
SWE00140336,2296
SWE00139852,2300
SWE00139690,2304
SWE00139900,2310
SWE00139840,2323
SWE00139660,2326
SWE00139582,2328
SWE00139884,2330
SWE00139604,2336
SWE00139828,2342
SWE00139680,2346
SW000002361,2361
SWE00139942,2365
SWE00115961,2366
SWE00139774,2368
SWE00139654,2372
SWE00139588,2376
SWE00139858,2382
SWE00139332,2400
SWE00139070,2404
SWE00138738,2409
SWE00139436,2410
SWE00139276,2412
SWE00139042,2416
SWE00139186,2424
SWE00138756,2428
SWE00139504,2430
SWE00138816,2432
SWE00139362,2435
SWE00139000,2439
SWE00139482,2442
SWE00139284,2444
SWE00139462,2450
SWE00136474,2451
SWE00139468,2454
SWE00115916,2464
SWE00115916,2465
SWE00139396,2470
SWE00136411,2471
SWE00139146,2480
SWE00138860,2487
SWE00138746,2489
SWE00139112,2494
SWE00136189,2495
SWE00138962,2496
SWE00138674,2500
SWE00138688,2502
SWE00138558,2504
SWE00138364,2508
SWE00138404,2510
SWE00138204,2514
SWE00138166,2516
SWE00135556,2517
SWE00138044,2518
SWE00115881,2520
SWE00138306,2524
SWE00138184,2526
SWE00138184,2527
SWE00138116,2528
SWE00138680,2530
SWE00138214,2536
SWE00138704,2541
SWE00138584,2543
SW000008525,2562
SWE00138080,2568
SWE00135937,2569
SWE00138570,2571
SWE00138630,2572
SWE00138568,2574
SWE00138708,2580
SWE00138706,2581
SWM00002584,2584
SWE00138418,2586
SWE00138058,2592
SWE00138088,2596
SWE00137916,2600
SWE00137844,2604
SWE00137736,2606
SWE00135169,2614
SWE00137494,2616
SWE00135133,2617
SWE00137656,2630
SWE00100003,2640
SWE00135406,2641
SWE00137608,2651
SWE00135352,2670
SWE00137692,2676
SWE00137910,2680
SWE00135244,2685
FIM00002801,2801
FIE00146762,2805
FIE00146688,2807
FIE00146423,2823
FIE00145852,2864
FIE00145712,2867
FIE00145817,2879
FIE00145377,2897
FIE00145102,2903
FIE00145167,2905
FIE00144212,2911
FIE00144557,2915
FIE00144702,2917
FI000002401,2935
FIE00142641,2943
FIE00143586,2945
FIE00144102,2948
FIE00144132,2949
FIE00142411,2952
FIE00143231,2958
FIE00143276,2959
FI000002963,2963
FIE00142861,2965
FIE00143041,2966
FIE00141895,2971
FIE00142511,2972
FIE00142020,2973
FIE00142241,2975
FIE00141810,2981
FIE00141925,2982
FIE00142085,2984
FIE00142090,2986
FIE00142300,2987
FIE00142311,2988
FIE00141870,2990
UK000003005,3005
UKM00003014,3014
UKM00003017,3017
UKM00003066,3066
UKM00003100,3100
UK000003162,3162
UK000003302,3302
UKM00003334,3334
UKM00003414,3414
UKM00003414,3415
UKM00003502,3502
UKW00035050,3688
UKM00003772,3772
UKW00035047,3797
UKM00003917,3917
EIM00003957,3957
EIE00101859,3964
EI000003965,3965
EIM00003976,3976
EI000003980,3980
ICM00004014,4014
IC000004048,4048
IC000004063,4063
IC000004097,4097
GLE00146901,4210
GLE00146921,4212
GLE00100981,4216
GLE00147041,4230
GLE00147101,4240
GL000004250,4250
GLE00147251,4263
GLW00016405,4270
GLE00147301,4272
GLE00147401,4310
GLE00147461,4330
GLE00147481,4339
GLE00147491,4340
GLE00147498,4341
GL000004360,4360
GLM00004390,4390
DAM00006011,6011
DA000032020,6193
NLE00101981,6210
NLE00100497,6235
NLE00100496,6250
NLM00006260,6260
NLM00006260,6261
NLE00102128,6265
NLE00102494,6277
NLE00102499,6278
NLE00100530,6280
NLE00102022,6290
NLE00102044,6319
NLE00102462,6340
NLE00102427,6344
NLE00102089,6370
NLE00102474,6375
NLE00109242,6379
BE000006447,6447
SZ000003700,6660
SZ000006717,6719
SZ000009480,6770
FRM00007027,7027
FRE00104971,7028
FRM00007037,7037
FRE00104939,7070
FRE00104949,7090
FRM00007110,7110
FR000007130,7130
FRE00104954,7139
FRM00007168,7168
FRE00104945,7180
FR000007190,7190
FRE00104947,7203
FRE00104932,7249
FR000007255,7255
FRE00104981,7265
FRE00104901,7276
FRM00007280,7280
FRE00104941,7283
FRE00104904,7288
FRE00104978,7300
FR000007354,7354
FRE00104884,7374
FRM00007460,7460
FRM00007471,7471
FRM00007481,7481
FRE00104919,7500
FRM00007535,7535
FRM00007558,7558
FR000007560,7560
FRM00007591,7591
FRM00007607,7607
FRM00007621,7621
FRM00007627,7627
FR000007630,7630
FRE00104888,7635
FRE00104921,7641
FRM00007643,7643
FR000007650,7650
FRM00007761,7761
FRM00007790,7790
SPE00119711,8001
SPE00119981,8022
SPE00120134,8029
SPE00120404,8044
SPE00120377,8048
SPE00120188,8084
SPE00120629,8157
SP000009434,8160
SPE00120251,8171
SP000008181,8181
SP000008202,8202
SPE00120485,8213
SP000008215,8215
SPE00120287,8223
SPE00120296,8224
SPE00120116,8226
SPE00120305,8227
SP000009981,8238
SP000008280,8280
SPE00119873,8301
SPM00008359,8359
SPE00119855,8373
SPE00120503,8397
SPE00120332,8429
SPE00119963,8458
SP000006155,8482
GIM00008495,8495
POM00008501,8501
POM00008512,8512
POM00008515,8515
PO000008522,8522
POM00008524,8524
PO000008535,8535
PO000008546,8546
PO000008549,8549
POM00008554,8554
POM00008558,8558
PO000008562,8562
POM00008570,8570
CVM00008583,8583
GME00121018,9091
GMM00010161,9161
GME00102212,9170
GMM00010261,9261
GME00121090,9264
GME00102236,9270
GMM00010359,9359
GME00102252,9361
GMM00010385,9385
GME00114621,9453
GMM00010474,9474
GMM00010480,9480
GMM00010488,9488
GMM00010490,9490
GME00121258,9496
GMM00010552,9552
GME00102340,9554
GME00120970,9567
GMM00010577,9577
GME00102348,9578
GMM00010582,9582
GME00102177,10015
GME00102185,10020
GMM00010022,10022
GME00102193,10035
GME00121030,10046
GMM00010093,10093
GME00121102,10113
GME00102177,10120
GMM00010130,10130
GME00121270,10131
GMM00010146,10146
GMM00010161,10161
GMM00010168,10168
GME00102212,10170
GME00102220,10184
GMM00010235,10235
GMM00010261,10261
GME00121090,10264
GME00102236,10270
GMM00010281,10281
GMM00010305,10305
GME00111430,10315
GMM00010321,10321
GMM00010348,10346
GME00102252,10361
GMM00010365,10365
GM000003342,10379
GME00121150,10382
GME00111445,10384
GM000010393,10393
GMM00010410,10410
GMM00010418,10418
GME00111457,10427
GME00102284,10439
GMM00010444,10444
GME00114621,10453
GMM00010460,10460
GMM00010474,10474
GMM00010480,10480
GM000003244,10486
GMM00010490,10490
